year_group,ks_level,topic_strand,sub_strand,statement
5,2,Number,multiplication and division,"multiply numbers up to 4 digits by a one- or two-digit number using a formal written method, including long multiplication for two-digit numbers"
5,2,Number,multiplication and division,"multiply and divide numbers mentally, drawing upon known facts"
5,2,Number,multiplication and division,divide numbers up to 4 digits by a one-digit number using the formal written method of short division and interpret remainders appropriately for the context
5,2,Number,multiplication and division,"multiply and divide whole numbers and those involving decimals by 10, 100 and 1,000"
5,2,Number,multiplication and division,"recognise and use square numbers and cube numbers, and the notation for squared (²) and cubed (³)"
5,2,Number,multiplication and division,"solve problems involving multiplication and division, including using their knowledge of factors and multiples, squares and cubes"
5,2,Number,multiplication and division,"solve problems involving addition, subtraction, multiplication and division and a combination of these, including understanding the meaning of the equals sign"
5,2,Number,multiplication and division,"solve problems involving multiplication and division, including scaling by simple fractions and problems involving simple rates"
5,2,Number,fractions,compare and order fractions whose denominators are all multiples of the same number
5,2,Number,fractions,"identify, name and write equivalent fractions of a given fraction, represented visually, including tenths and hundredths"
5,2,Number,fractions,recognise mixed numbers and improper fractions and convert from one form to the other and write mathematical statements > 1 as a mixed number+[Fraction:4/5] = [Fraction:6/5] = 1 [Fraction:1/5] ]
5,2,Number,fractions,"add and subtract fractions with the same denominator, and denominators that are multiples of the same number"
5,2,Number,fractions,"multiply proper fractions and mixed numbers by whole numbers, supported by materials and diagrams"
5,2,Number,fractions,read and write decimal numbers as fractions ]
5,2,Number,fractions,"recognise and use thousandths and relate them to tenths, hundredths and decimal equivalents"
5,2,Number,fractions,round decimals with 2 decimal places to the nearest whole number and to 1 decimal place
5,2,Number,fractions,"read, write, order and compare numbers with up to 3 decimal places"
5,2,Number,fractions,solve problems involving number up to 3 decimal places
5,2,Number,fractions,"recognise the per cent symbol (%) and understand that per cent relates to ‘number of parts per 100’, and write percentages as a fraction with denominator 100, and as a decimal fraction"
5,2,Number,fractions,"solve problems which require knowing percentage and decimal equivalents of [Fraction:1/2], [Fraction:1/4], [Fraction:1/5], [Fraction:2/5], [Fraction:4/5] and those fractions with a denominator of a multiple of 10 or 25"
5,2,Geometry,Measurement,convert between different units of metric measure
5,2,Geometry,Measurement,"understand and use approximate equivalences between metric units and common imperial units such as inches, pounds and pints"
5,2,Geometry,Measurement,measure and calculate the perimeter of composite rectilinear shapes in centimetres and metres
5,2,Geometry,Measurement,"calculate and compare the area of rectangles (including squares), including using standard units, square centimetres (cm²) and square metres (m²), and estimate the area of irregular shapes"
5,2,Geometry,Measurement,estimate volume and capacity
5,2,Geometry,Measurement,solve problems involving converting between units of time
5,2,Geometry,Measurement,"use all four operations to solve problems involving measure using decimal notation, including scaling"
5,2,Geometry,properties of shapes,"identify 3-D shapes, including cubes and other cuboids, from 2-D representations"
5,2,Geometry,properties of shapes,"know angles are measured in degrees: estimate and compare acute, obtuse and reflex angles"
5,2,Geometry,properties of shapes,"draw given angles, and measure them in degrees (°)"
5,2,Geometry,properties of shapes,identify: angles at a point and 1 whole turn (total 360°)
5,2,Geometry,properties of shapes,identify: angles at a point on a straight line and half a turn (total 180°)
5,2,Geometry,properties of shapes,identify: other multiples of 90°
5,2,Geometry,properties of shapes,identify: use the properties of rectangles to deduce related facts and find missing lengths and angles
5,2,Geometry,properties of shapes,identify: distinguish between regular and irregular polygons based on reasoning about equal sides and angles
5,2,Geometry,position and direction,"identify, describe and represent the position of a shape following a reflection or translation, using the appropriate language, and know that the shape has not changed"
5,2,Statistics,Statistics,"solve comparison, sum and difference problems using information presented in a line graph"
5,2,Statistics,Statistics,"complete, read and interpret information in tables, including timetables"
6,2,Number,number and place value,"read, write, order and compare numbers up to 10,000,000 and determine the value of each digit"
6,2,Number,number and place value,round any whole number to a required degree of accuracy
6,2,Number,number and place value,"use negative numbers in context, and calculate intervals across 0"
6,2,Number,number and place value,solve number and practical problems that involve all of the above
6,2,Number,"addition, subtraction, multiplication and division",multiply multi-digit numbers up to 4 digits by a two-digit whole number using the formal written method of long multiplication
6,2,Number,"addition, subtraction, multiplication and division","divide numbers up to 4 digits by a two-digit whole number using the formal written method of long division, and interpret remainders as whole number remainders, fractions, or by rounding, as appropriate for the context"
6,2,Number,"addition, subtraction, multiplication and division","divide numbers up to 4 digits by a two-digit number using the formal written method of short division where appropriate, interpreting remainders according to the context"
6,2,Number,"addition, subtraction, multiplication and division","perform mental calculations, including with mixed operations and large numbers"
6,2,Number,"addition, subtraction, multiplication and division","identify common factors, common multiples and prime numbers"
6,2,Number,"addition, subtraction, multiplication and division",use their knowledge of the order of operations to carry out calculations involving the 4 operations
6,2,Number,"addition, subtraction, multiplication and division","solve addition and subtraction multi-step problems in contexts, deciding which operations and methods to use and why"
6,2,Number,"addition, subtraction, multiplication and division","solve problems involving addition, subtraction, multiplication and division"
6,2,Number,"addition, subtraction, multiplication and division","use estimation to check answers to calculations and determine, in the context of a problem, an appropriate degree of accuracy"
6,2,Number,Fractions,use common factors to simplify fractions; use common multiples to express fractions in the same denomination
6,2,Number,Fractions,"compare and order fractions, including fractions >1"
